"name"	"catalogNumber"	"decimalLongitude"	"decimalLatitude"	"basisOfRecord"	"year"	"municipality"	"taxonKey"	"occurrenceID"	"bio1"	"bio2"	"bio3"	"bio4"	"bio5"	"bio6"	"bio7"	"bio8"	"bio9"	"bio10"	"bio11"	"bio12"	"bio13"	"bio14"	"bio15"	"bio16"	"bio17"	"bio18"	"bio19"
"Hepatica nobilis"	"16550206"	9.667301	58.996595	"HUMAN_OBSERVATION"	2017	"Bamble"	5371699	"NBF:SO2-Vascular:16550206"	70	56	23	6541	199	-41	240	122	13	156	-10	754	91	38	27	257	130	209	152
"Hepatica nobilis"	"16602863"	11.043403	59.355211	"HUMAN_OBSERVATION"	2017	"Sarpsborg"	5371699	"NBF:SO2-Vascular:16602863"	61	59	22	7048	199	-59	258	113	2	154	-26	789	91	41	26	262	135	230	157
"Hepatica nobilis"	"16407337"	10.947598	59.6662	"HUMAN_OBSERVATION"	2017	"Ski"	5371699	"NBF:SO2-Vascular:16407337"	60	61	23	7219	203	-62	265	112	1	155	-30	780	89	40	26	261	134	230	153
"Hepatica nobilis"	"16446800"	10.178604	60.064239	"HUMAN_OBSERVATION"	2017	"Hole"	5371699	"NBF:SO2-Vascular:16446800"	52	74	25	7742	211	-81	292	140	-4	153	-47	715	90	33	31	248	110	233	129
"Hepatica nobilis"	"16621532"	9.996758	63.578395	"HUMAN_OBSERVATION"	2017	"Rissa"	5371699	"NBF:SO2-Vascular:16621532"	45	67	30	5451	163	-55	218	51	34	117	-22	1014	118	53	24	327	181	242	264
"Hepatica nobilis"	"17000777"	8.876505	58.524058	"HUMAN_OBSERVATION"	2017	"Arendal"	5371699	"NBF:SO2-Vascular:17000777"	68	56	24	6136	191	-39	230	81	11	148	-7	951	114	47	27	325	164	242	195
"Hepatica nobilis"	"16413782"	10.758296	59.877901	"HUMAN_OBSERVATION"	2017	"Oslo"	5371699	"NBF:SO2-Vascular:16413782"	54	70	24	7559	208	-76	284	106	-4	153	-41	769	92	38	28	260	126	240	145
"Hepatica nobilis"	"16526795"	8.143084	58.177303	"HUMAN_OBSERVATION"	2017	"Kristiansand"	5371699	"NBF:SO2-Vascular:16526795"	67	48	23	5662	177	-30	207	80	85	140	-2	1329	163	62	30	462	208	289	308
"Hepatica nobilis"	"16595935"	10.698459	59.778502	"HUMAN_OBSERVATION"	2017	"Nesodden"	5371699	"NBF:SO2-Vascular:16595935"	60	65	23	7369	207	-66	273	112	1	157	-33	766	90	38	27	259	129	232	146
"Hepatica nobilis"	"16602856"	11.043708	59.35496	"HUMAN_OBSERVATION"	2017	"Sarpsborg"	5371699	"NBF:SO2-Vascular:16602856"	61	59	22	7048	199	-59	258	113	2	154	-26	789	91	41	26	262	135	230	157
"Hepatica nobilis"	"16602851"	11.043574	59.354831	"HUMAN_OBSERVATION"	2017	"Sarpsborg"	5371699	"NBF:SO2-Vascular:16602851"	61	59	22	7048	199	-59	258	113	2	154	-26	789	91	41	26	262	135	230	157
"Hepatica nobilis"	"16602867"	11.043152	59.355262	"HUMAN_OBSERVATION"	2017	"Sarpsborg"	5371699	"NBF:SO2-Vascular:16602867"	61	59	22	7048	199	-59	258	113	2	154	-26	789	91	41	26	262	135	230	157
"Hepatica nobilis"	"16602847"	11.04343	59.354799	"HUMAN_OBSERVATION"	2017	"Sarpsborg"	5371699	"NBF:SO2-Vascular:16602847"	61	59	22	7048	199	-59	258	113	2	154	-26	789	91	41	26	262	135	230	157
"Hepatica nobilis"	"16610087"	9.095191	58.754332	"HUMAN_OBSERVATION"	2017	"Ris<U+00F8>r"	5371699	"NBF:SO2-Vascular:16610087"	65	57	24	6283	192	-44	236	77	8	147	-11	887	105	44	27	300	151	236	177
"Hepatica nobilis"	"16905916"	10.350308	59.38975	"HUMAN_OBSERVATION"	2017	"Re"	5371699	"NBF:SO2-Vascular:16905916"	68	55	22	6914	201	-48	249	120	9	159	-18	737	87	37	26	249	132	211	143
"Hepatica nobilis"	"16537107"	10.348206	59.46724	"HUMAN_OBSERVATION"	2017	"Re"	5371699	"NBF:SO2-Vascular:16537107"	68	55	22	6914	201	-48	249	120	9	159	-18	737	87	37	26	249	132	211	143
"Hepatica nobilis"	"16549933"	10.029987	59.930641	"HUMAN_OBSERVATION"	2017	"Modum"	5371699	"NBF:SO2-Vascular:16549933"	35	72	25	7493	189	-95	284	121	-23	133	-60	788	97	39	28	265	128	254	149
"Hepatica nobilis"	"16445427"	10.047324	63.490997	"HUMAN_OBSERVATION"	2017	"Rissa"	5371699	"NBF:SO2-Vascular:16445427"	49	69	30	5809	173	-57	230	53	39	125	-23	922	109	48	24	298	163	228	233
"Hepatica nobilis"	"16498909"	9.669834	60.036824	"HUMAN_OBSERVATION"	2017	"Sigdal"	5371699	"NBF:SO2-Vascular:16498909"	41	78	26	7831	204	-96	300	130	-15	143	-60	723	92	34	31	251	110	239	130
"Hepatica nobilis"	"16586654"	10.657101	59.547502	"HUMAN_OBSERVATION"	2017	"Vestby"	5371699	"NBF:SO2-Vascular:16586654"	59	61	23	7162	201	-63	264	111	0	153	-30	764	89	38	26	257	131	228	147
"Hepatica nobilis"	"16617811"	10.592682	59.716113	"HUMAN_OBSERVATION"	2017	"Frogn"	5371699	"NBF:SO2-Vascular:16617811"	61	65	23	7343	208	-65	273	113	2	157	-31	751	89	37	27	255	126	229	142
"Hepatica nobilis"	"16498925"	9.665513	60.038022	"HUMAN_OBSERVATION"	2017	"Sigdal"	5371699	"NBF:SO2-Vascular:16498925"	37	80	26	7861	201	-101	302	127	-18	139	-64	722	92	34	31	251	109	239	130
"Hepatica nobilis"	"16461347"	10.769803	59.230461	"HUMAN_OBSERVATION"	2017	"Fredrikstad"	5371699	"NBF:SO2-Vascular:16461347"	70	52	21	6809	200	-43	243	122	11	160	-13	743	89	38	26	250	132	209	147
"Hepatica nobilis"	"16565856"	10.287399	60.065495	"HUMAN_OBSERVATION"	2017	"Hole"	5371699	"NBF:SO2-Vascular:16565856"	52	74	25	7742	211	-81	292	140	-4	153	-47	715	90	33	31	248	110	233	129
"Hepatica nobilis"	"16580276"	10.412759	59.819777	"HUMAN_OBSERVATION"	2017	"Asker"	5371699	"NBF:SO2-Vascular:16580276"	56	66	24	7354	204	-69	273	109	-2	153	-36	751	90	37	27	254	125	231	142
"Hepatica nobilis"	"16602869"	11.043071	59.355161	"HUMAN_OBSERVATION"	2017	"Sarpsborg"	5371699	"NBF:SO2-Vascular:16602869"	61	59	22	7048	199	-59	258	113	2	154	-26	789	91	41	26	262	135	230	157
"Hepatica nobilis"	"514952"	10.470213	59.945277	"HUMAN_OBSERVATION"	2017	NA	5371699	"514952"	48	70	24	7517	202	-81	283	134	-9	147	-47	762	93	37	28	256	124	242	142
"Hepatica nobilis"	"16530783"	10.349688	59.271476	"HUMAN_OBSERVATION"	2017	"T<U+00F8>nsberg"	5371699	"NBF:SO2-Vascular:16530783"	71	51	21	6752	199	-41	240	124	12	160	-11	729	88	37	26	245	134	204	143
"Hepatica nobilis"	"16551061"	10.285746	60.063598	"HUMAN_OBSERVATION"	2017	"Hole"	5371699	"NBF:SO2-Vascular:16551061"	52	74	25	7742	211	-81	292	140	-4	153	-47	715	90	33	31	248	110	233	129
"Hepatica nobilis"	"16565806"	10.285548	60.064231	"HUMAN_OBSERVATION"	2017	"Hole"	5371699	"NBF:SO2-Vascular:16565806"	52	74	25	7742	211	-81	292	140	-4	153	-47	715	90	33	31	248	110	233	129
"Hepatica nobilis"	"16590466"	11.137582	63.788805	"HUMAN_OBSERVATION"	2017	"Levanger"	5371699	"NBF:SO2-Vascular:16590466"	48	68	28	6157	176	-65	241	95	37	129	-29	975	117	52	24	315	175	248	240
"Hepatica nobilis"	"16608113"	7.980022	58.065716	"HUMAN_OBSERVATION"	2017	"Kristiansand"	5371699	"NBF:SO2-Vascular:16608113"	72	46	22	5563	178	-23	201	85	89	144	5	1301	163	60	31	459	200	277	303
"Hepatica nobilis"	"16617751"	10.592682	59.716113	"HUMAN_OBSERVATION"	2017	"Frogn"	5371699	"NBF:SO2-Vascular:16617751"	61	65	23	7343	208	-65	273	113	2	157	-31	751	89	37	27	255	126	229	142
"Hepatica nobilis"	"17000759"	8.874852	58.523523	"HUMAN_OBSERVATION"	2017	"Arendal"	5371699	"NBF:SO2-Vascular:17000759"	68	56	24	6136	191	-39	230	81	11	148	-7	951	114	47	27	325	164	242	195
"Hepatica nobilis"	"16602845"	11.043502	59.354868	"HUMAN_OBSERVATION"	2017	"Sarpsborg"	5371699	"NBF:SO2-Vascular:16602845"	61	59	22	7048	199	-59	258	113	2	154	-26	789	91	41	26	262	135	230	157
"Hepatica nobilis"	"16602874"	11.043178	59.35485	"HUMAN_OBSERVATION"	2017	"Sarpsborg"	5371699	"NBF:SO2-Vascular:16602874"	61	59	22	7048	199	-59	258	113	2	154	-26	789	91	41	26	262	135	230	157
"Hepatica nobilis"	"16602861"	11.043511	59.355239	"HUMAN_OBSERVATION"	2017	"Sarpsborg"	5371699	"NBF:SO2-Vascular:16602861"	61	59	22	7048	199	-59	258	113	2	154	-26	789	91	41	26	262	135	230	157
"Hepatica nobilis"	"16705715"	10.268283	60.116482	"HUMAN_OBSERVATION"	2017	"Ringerike"	5371699	"NBF:SO2-Vascular:16705715"	52	74	25	7742	211	-81	292	140	-4	153	-47	715	90	33	31	248	110	233	129
"Hepatica nobilis"	"16528169"	10.1736	59.037775	"HUMAN_OBSERVATION"	2017	"Larvik"	5371699	"NBF:SO2-Vascular:16528169"	72	50	21	6601	197	-37	234	125	14	159	-8	728	88	37	26	244	134	201	144
"Hepatica nobilis"	"17283440"	10.656391	59.382362	"HUMAN_OBSERVATION"	2017	"Rygge"	5371699	"NBF:SO2-Vascular:17283440"	69	56	22	6967	204	-49	253	121	10	160	-18	741	87	37	26	250	130	214	144
"Hepatica nobilis"	"16528665"	10.518284	59.529532	"HUMAN_OBSERVATION"	2017	"Hurum"	5371699	"NBF:SO2-Vascular:16528665"	59	61	23	7162	201	-63	264	111	0	153	-30	764	89	38	26	257	131	228	147
"Hepatica nobilis"	"16540993"	10.617682	59.453162	"HUMAN_OBSERVATION"	2017	"Moss"	5371699	"NBF:SO2-Vascular:16540993"	69	56	22	6967	204	-49	253	121	10	160	-18	741	87	37	26	250	130	214	144
"Hepatica nobilis"	"16619506"	9.614291	60.056667	"HUMAN_OBSERVATION"	2017	"Sigdal"	5371699	"NBF:SO2-Vascular:16619506"	37	80	26	7861	201	-101	302	127	-18	139	-64	722	92	34	31	251	109	239	130
"Hepatica nobilis"	"16848618"	10.832479	59.945689	"HUMAN_OBSERVATION"	2017	"Oslo"	5371699	"NBF:SO2-Vascular:16848618"	54	70	24	7559	208	-76	284	106	-4	153	-41	769	92	38	28	260	126	240	145
"Hepatica nobilis"	"16561304"	10.433618	59.338833	"HUMAN_OBSERVATION"	2017	"T<U+00F8>nsberg"	5371699	"NBF:SO2-Vascular:16561304"	68	55	22	6914	201	-48	249	120	9	159	-18	737	87	37	26	249	132	211	143
"Hepatica nobilis"	"16602852"	11.043717	59.354749	"HUMAN_OBSERVATION"	2017	"Sarpsborg"	5371699	"NBF:SO2-Vascular:16602852"	61	59	22	7048	199	-59	258	113	2	154	-26	789	91	41	26	262	135	230	157
"Hepatica nobilis"	"16621559"	10.091333	63.537966	"HUMAN_OBSERVATION"	2017	"Rissa"	5371699	"NBF:SO2-Vascular:16621559"	44	68	30	5567	164	-58	222	49	33	117	-24	993	115	52	23	319	178	240	256
"Hepatica nobilis"	"16512190"	10.430518	59.145727	"HUMAN_OBSERVATION"	2017	"Tj<U+00F8>me"	5371699	"NBF:SO2-Vascular:16512190"	74	47	20	6561	197	-34	231	126	15	161	-5	722	88	37	25	241	137	196	143
"Hepatica nobilis"	"16602866"	11.043259	59.355262	"HUMAN_OBSERVATION"	2017	"Sarpsborg"	5371699	"NBF:SO2-Vascular:16602866"	61	59	22	7048	199	-59	258	113	2	154	-26	789	91	41	26	262	135	230	157
"Hepatica nobilis"	"16621373"	10.319639	59.164989	"HUMAN_OBSERVATION"	2017	"Sandefjord"	5371699	"NBF:SO2-Vascular:16621373"	72	50	21	6601	197	-37	234	125	14	159	-8	728	88	37	26	244	134	201	144
"Hepatica nobilis"	"16540992"	10.617691	59.45313	"HUMAN_OBSERVATION"	2017	"Moss"	5371699	"NBF:SO2-Vascular:16540992"	69	56	22	6967	204	-49	253	121	10	160	-18	741	87	37	26	250	130	214	144
"Hepatica nobilis"	"16542889"	9.153752	58.701335	"HUMAN_OBSERVATION"	2017	"Ris<U+00F8>r"	5371699	"NBF:SO2-Vascular:16542889"	65	57	24	6283	192	-44	236	77	8	147	-11	887	105	44	27	300	151	236	177
"Hepatica nobilis"	"16602860"	11.043601	59.355221	"HUMAN_OBSERVATION"	2017	"Sarpsborg"	5371699	"NBF:SO2-Vascular:16602860"	61	59	22	7048	199	-59	258	113	2	154	-26	789	91	41	26	262	135	230	157
"Hepatica nobilis"	"16604402"	10.698459	59.778502	"HUMAN_OBSERVATION"	2017	"Nesodden"	5371699	"NBF:SO2-Vascular:16604402"	60	65	23	7369	207	-66	273	112	1	157	-33	766	90	38	27	259	129	232	146
"Hepatica nobilis"	"16608462"	10.707721	59.449423	"HUMAN_OBSERVATION"	2017	"Moss"	5371699	"NBF:SO2-Vascular:16608462"	68	56	22	6966	203	-49	252	120	9	160	-18	748	88	38	26	252	131	215	146
"Hepatica nobilis"	"16540999"	10.617566	59.452628	"HUMAN_OBSERVATION"	2017	"Moss"	5371699	"NBF:SO2-Vascular:16540999"	69	56	22	6967	204	-49	253	121	10	160	-18	741	87	37	26	250	130	214	144
"Hepatica nobilis"	"16602864"	11.043277	59.355202	"HUMAN_OBSERVATION"	2017	"Sarpsborg"	5371699	"NBF:SO2-Vascular:16602864"	61	59	22	7048	199	-59	258	113	2	154	-26	789	91	41	26	262	135	230	157
"Hepatica nobilis"	"17067659"	10.903257	60.082466	"HUMAN_OBSERVATION"	2017	"Nittedal"	5371699	"NBF:SO2-Vascular:17067659"	43	72	24	7730	201	-91	292	130	-16	144	-55	802	94	41	27	264	133	252	154
"Hepatica nobilis"	"16602843"	11.043592	59.354978	"HUMAN_OBSERVATION"	2017	"Sarpsborg"	5371699	"NBF:SO2-Vascular:16602843"	61	59	22	7048	199	-59	258	113	2	154	-26	789	91	41	26	262	135	230	157
"Hepatica nobilis"	"16602849"	11.043511	59.354758	"HUMAN_OBSERVATION"	2017	"Sarpsborg"	5371699	"NBF:SO2-Vascular:16602849"	61	59	22	7048	199	-59	258	113	2	154	-26	789	91	41	26	262	135	230	157
"Hepatica nobilis"	"16461349"	10.769749	59.23048	"HUMAN_OBSERVATION"	2017	"Fredrikstad"	5371699	"NBF:SO2-Vascular:16461349"	70	52	21	6809	200	-43	243	122	11	160	-13	743	89	38	26	250	132	209	147
"Hepatica nobilis"	"16511469"	10.624689	59.422636	"HUMAN_OBSERVATION"	2017	"Moss"	5371699	"NBF:SO2-Vascular:16511469"	69	56	22	6967	204	-49	253	121	10	160	-18	741	87	37	26	250	130	214	144
"Hepatica nobilis"	"16602870"	11.043071	59.355092	"HUMAN_OBSERVATION"	2017	"Sarpsborg"	5371699	"NBF:SO2-Vascular:16602870"	61	59	22	7048	199	-59	258	113	2	154	-26	789	91	41	26	262	135	230	157
"Hepatica nobilis"	"16540990"	10.618212	59.450578	"HUMAN_OBSERVATION"	2017	"Moss"	5371699	"NBF:SO2-Vascular:16540990"	69	56	22	6967	204	-49	253	121	10	160	-18	741	87	37	26	250	130	214	144
"Hepatica nobilis"	"16602859"	11.043771	59.355079	"HUMAN_OBSERVATION"	2017	"Sarpsborg"	5371699	"NBF:SO2-Vascular:16602859"	61	59	22	7048	199	-59	258	113	2	154	-26	789	91	41	26	262	135	230	157
"Hepatica nobilis"	"16722537"	10.592682	59.716113	"HUMAN_OBSERVATION"	2017	"Frogn"	5371699	"NBF:SO2-Vascular:16722537"	61	65	23	7343	208	-65	273	113	2	157	-31	751	89	37	27	255	126	229	142
"Hepatica nobilis"	"16566509"	10.880152	59.892387	"HUMAN_OBSERVATION"	2017	"Oslo"	5371699	"NBF:SO2-Vascular:16566509"	49	69	24	7599	202	-81	283	101	-10	149	-47	801	93	41	26	266	134	246	155
"Hepatica nobilis"	"16600894"	10.906015	60.009032	"HUMAN_OBSERVATION"	2017	"Nittedal"	5371699	"NBF:SO2-Vascular:16600894"	43	72	24	7730	201	-91	292	130	-16	144	-55	802	94	41	27	264	133	252	154
"Hepatica nobilis"	"16600210"	9.896272	59.219926	"HUMAN_OBSERVATION"	2017	"Larvik"	5371699	"NBF:SO2-Vascular:16600210"	61	58	23	6777	195	-54	249	114	3	150	-22	761	89	39	26	256	134	218	150
"Hepatica nobilis"	"16602844"	11.043583	59.354941	"HUMAN_OBSERVATION"	2017	"Sarpsborg"	5371699	"NBF:SO2-Vascular:16602844"	61	59	22	7048	199	-59	258	113	2	154	-26	789	91	41	26	262	135	230	157
"Hepatica nobilis"	"16602850"	11.043556	59.354859	"HUMAN_OBSERVATION"	2017	"Sarpsborg"	5371699	"NBF:SO2-Vascular:16602850"	61	59	22	7048	199	-59	258	113	2	154	-26	789	91	41	26	262	135	230	157
"Hepatica nobilis"	"16602862"	11.043484	59.355202	"HUMAN_OBSERVATION"	2017	"Sarpsborg"	5371699	"NBF:SO2-Vascular:16602862"	61	59	22	7048	199	-59	258	113	2	154	-26	789	91	41	26	262	135	230	157
"Hepatica nobilis"	"17000725"	8.873819	58.524602	"HUMAN_OBSERVATION"	2017	"Arendal"	5371699	"NBF:SO2-Vascular:17000725"	68	56	24	6136	191	-39	230	81	11	148	-7	951	114	47	27	325	164	242	195
